qtr,c_ed,c_img,c_ad
1838Q4,79.0,0.0,59.0
1839Q1,154.0,0.0,64.0
1839Q2,164.0,1.0,66.0
1839Q3,124.0,0.0,60.0
1839Q4,132.0,0.0,85.0
1840Q1,128.0,0.0,71.0
1840Q2,130.0,0.0,75.0
1840Q3,131.0,0.0,56.0
1840Q4,133.0,0.0,78.0
1841Q1,136.0,0.0,80.0
1841Q2,137.0,0.0,109.0
1841Q3,124.0,0.0,82.0
1841Q4,189.0,0.0,91.0
1842Q1,199.0,0.0,81.0
1842Q2,193.0,0.0,75.0
1842Q3,145.0,0.0,92.0
1842Q4,147.0,0.0,115.0
1843Q1,,,
1843Q2,158.0,0.0,118.0
1843Q3,181.0,0.0,141.0
1843Q4,80.0,0.0,65.0
1844Q1,141.0,0.0,169.0
1844Q2,135.0,0.0,107.0
1844Q3,195.0,0.0,126.0
1844Q4,187.0,0.0,97.0
1845Q1,168.0,0.0,94.0
1845Q2,212.0,0.0,102.0
1845Q3,178.0,0.0,99.0
1845Q4,106.0,0.0,65.0
1846Q1,165.0,0.0,104.0
1846Q2,206.0,0.0,123.0
1846Q3,212.0,0.0,132.0
1846Q4,168.0,0.0,100.0
1847Q1,202.0,0.0,115.0
1847Q2,170.0,0.0,101.0
1847Q3,114.0,0.0,96.0
1847Q4,230.0,0.0,114.0
1848Q1,243.0,0.0,88.0
1848Q2,234.0,0.0,83.0
1848Q3,249.0,0.0,100.0
1848Q4,254.0,0.0,89.0
1849Q1,226.0,1.0,72.0
1849Q2,252.0,0.0,74.0
1849Q3,272.0,0.0,79.0
1849Q4,256.0,0.0,103.0
1850Q1,,,
1850Q2,,,
1850Q3,,,
1850Q4,,,
1851Q1,257.0,0.0,101.0
1851Q2,315.0,0.0,116.0
1851Q3,318.0,0.0,102.0
1851Q4,231.0,0.0,85.0
1852Q1,451.0,0.0,117.0
1852Q2,417.0,0.0,137.0
1852Q3,462.0,0.0,103.0
1852Q4,433.0,0.0,106.0
1853Q1,427.0,0.0,309.0
1853Q2,436.0,0.0,306.0
1853Q3,,,
1853Q4,,,
1854Q1,,,
1854Q2,,,
1854Q3,381.0,0.0,374.0
1854Q4,376.0,0.0,363.0
1855Q1,341.0,0.0,95.0
1855Q2,297.0,0.0,102.0
1855Q3,288.0,0.0,101.0
1855Q4,225.0,0.0,115.0
1856Q1,241.0,0.0,98.0
1856Q2,320.0,0.0,109.0
1856Q3,346.0,0.0,113.0
1856Q4,321.0,0.0,108.0
1857Q1,478.0,0.0,385.0
1857Q2,560.0,0.0,372.0
1857Q3,,,
1857Q4,,,
1858Q1,193.0,0.0,30.0
1858Q2,258.0,0.0,56.0
1858Q3,263.0,0.0,69.0
1858Q4,212.0,0.0,82.0
1859Q1,211.0,0.0,60.0
1859Q2,213.0,0.0,68.0
1859Q3,181.0,0.0,48.0
1859Q4,155.0,0.0,46.0
1860Q1,,,
1860Q2,,,
1860Q3,,,
1860Q4,,,
1861Q1,156.0,0.0,689.0
1861Q2,82.0,0.0,365.0
1861Q3,276.0,0.0,517.0
1861Q4,255.0,0.0,475.0
1862Q1,,,
1862Q2,,,
1862Q3,,,
1862Q4,,,
1863Q1,,,
1863Q2,,,
1863Q3,,,
1863Q4,,,
1864Q1,,,
1864Q2,,,
1864Q3,,,
1864Q4,,,
1865Q1,,,
1865Q2,,,
1865Q3,146.0,0.0,361.0
1865Q4,136.0,0.0,512.0
1866Q1,,,
1866Q2,,,
1866Q3,,,
1866Q4,,,
1867Q1,,,
1867Q2,,,
1867Q3,,,
1867Q4,,,
1868Q1,,,
1868Q2,,,
1868Q3,,,
1868Q4,,,
1869Q1,,,
1869Q2,,,
1869Q3,162.0,0.0,477.0
1869Q4,138.0,0.0,507.0
1870Q1,,,
1870Q2,,,
1870Q3,,,
1870Q4,,,
1871Q1,178.0,0.0,356.0
1871Q2,182.0,0.0,337.0
1871Q3,198.0,0.0,395.0
1871Q4,217.0,0.0,585.0
1872Q1,200.0,0.0,368.0
1872Q2,170.0,0.0,265.0
1872Q3,,,
1872Q4,,,
1873Q1,,,
1873Q2,,,
1873Q3,,,
1873Q4,,,
1874Q1,327.0,0.0,568.0
1874Q2,482.0,0.0,764.0
1874Q3,616.0,0.0,581.0
1874Q4,299.0,0.0,503.0
1875Q1,231.0,0.0,379.0
1875Q2,256.0,0.0,681.0
1875Q3,245.0,0.0,812.0
1875Q4,212.0,0.0,781.0
1876Q1,379.0,0.0,711.0
1876Q2,337.0,0.0,679.0
1876Q3,267.0,0.0,724.0
1876Q4,249.0,0.0,759.0
1877Q1,239.0,0.0,751.0
1877Q2,249.0,0.0,605.0
1877Q3,295.0,0.0,757.0
1877Q4,240.0,0.0,784.0
