qtr,narticles
1838Q4,918.0
1839Q1,1576.0
1839Q2,1537.0
1839Q3,1188.0
1839Q4,1389.0
1840Q1,1410.0
1840Q2,1611.0
1840Q3,1520.0
1840Q4,1576.0
1841Q1,1394.0
1841Q2,1646.0
1841Q3,1484.0
1841Q4,1478.0
1842Q1,1486.0
1842Q2,1558.0
1842Q3,1457.0
1842Q4,1528.0
1843Q1,
1843Q2,1383.0
1843Q3,1524.0
1843Q4,645.0
1844Q1,1323.0
1844Q2,1373.0
1844Q3,1443.0
1844Q4,1428.0
1845Q1,1343.0
1845Q2,1503.0
1845Q3,1545.0
1845Q4,1003.0
1846Q1,1225.0
1846Q2,1516.0
1846Q3,1633.0
1846Q4,1496.0
1847Q1,1694.0
1847Q2,1532.0
1847Q3,1166.0
1847Q4,1541.0
1848Q1,1516.0
1848Q2,1487.0
1848Q3,1705.0
1848Q4,1730.0
1849Q1,1387.0
1849Q2,1423.0
1849Q3,1588.0
1849Q4,1586.0
1850Q1,
1850Q2,
1850Q3,
1850Q4,
1851Q1,1272.0
1851Q2,1477.0
1851Q3,1312.0
1851Q4,1053.0
1852Q1,1634.0
1852Q2,1693.0
1852Q3,1565.0
1852Q4,1537.0
1853Q1,3399.0
1853Q2,3270.0
1853Q3,
1853Q4,
1854Q1,
1854Q2,
1854Q3,3076.0
1854Q4,2861.0
1855Q1,1335.0
1855Q2,1327.0
1855Q3,1487.0
1855Q4,1314.0
1856Q1,1313.0
1856Q2,1516.0
1856Q3,1471.0
1856Q4,1559.0
1857Q1,3009.0
1857Q2,3398.0
1857Q3,
1857Q4,
1858Q1,1727.0
1858Q2,2257.0
1858Q3,2163.0
1858Q4,2062.0
1859Q1,1875.0
1859Q2,2073.0
1859Q3,1854.0
1859Q4,1984.0
1860Q1,
1860Q2,
1860Q3,
1860Q4,
1861Q1,3403.0
1861Q2,1835.0
1861Q3,4036.0
1861Q4,3788.0
1862Q1,
1862Q2,
1862Q3,
1862Q4,
1863Q1,
1863Q2,
1863Q3,
1863Q4,
1864Q1,
1864Q2,
1864Q3,
1864Q4,
1865Q1,
1865Q2,
1865Q3,4707.0
1865Q4,4399.0
1866Q1,
1866Q2,
1866Q3,
1866Q4,
1867Q1,
1867Q2,
1867Q3,
1867Q4,
1868Q1,
1868Q2,
1868Q3,
1868Q4,
1869Q1,
1869Q2,
1869Q3,4790.0
1869Q4,4876.0
1870Q1,
1870Q2,
1870Q3,
1870Q4,
1871Q1,5003.0
1871Q2,5247.0
1871Q3,5669.0
1871Q4,6330.0
1872Q1,5929.0
1872Q2,5164.0
1872Q3,
1872Q4,
1873Q1,
1873Q2,
1873Q3,
1873Q4,
1874Q1,4816.0
1874Q2,4894.0
1874Q3,5287.0
1874Q4,5407.0
1875Q1,4756.0
1875Q2,5285.0
1875Q3,5403.0
1875Q4,5108.0
1876Q1,4994.0
1876Q2,5164.0
1876Q3,5578.0
1876Q4,5219.0
1877Q1,4990.0
1877Q2,5425.0
1877Q3,5408.0
1877Q4,5212.0
1878Q1,4790.0
1878Q2,5137.0
1878Q3,4701.0
1878Q4,4303.0
1879Q1,4816.0
1879Q2,4864.0
1879Q3,5293.0
1879Q4,4838.0
1880Q1,4905.0
1880Q2,5004.0
1880Q3,5216.0
1880Q4,5031.0
1881Q1,5150.0
1881Q2,5111.0
1881Q3,5333.0
1881Q4,5991.0
1882Q1,5489.0
1882Q2,5043.0
1882Q3,5490.0
1882Q4,5732.0
1883Q1,5731.0
1883Q2,5738.0
1883Q3,6468.0
1883Q4,7046.0
1884Q1,6096.0
1884Q2,6148.0
1884Q3,6604.0
1884Q4,6702.0
1885Q1,5859.0
1885Q2,6581.0
1885Q3,7159.0
1885Q4,7028.0
1886Q1,7071.0
1886Q2,7013.0
1886Q3,6488.0
1886Q4,7672.0
1887Q1,7177.0
1887Q2,6748.0
1887Q3,6191.0
1887Q4,6240.0
1888Q1,6728.0
1888Q2,6647.0
1888Q3,6550.0
1888Q4,6651.0
1889Q1,6771.0
1889Q2,6999.0
1889Q3,6951.0
1889Q4,7482.0
1890Q1,6691.0
1890Q2,6743.0
1890Q3,6789.0
1890Q4,7474.0
1891Q1,7418.0
1891Q2,7325.0
1891Q3,6831.0
1891Q4,7078.0
1892Q1,7474.0
1892Q2,6890.0
1892Q3,6824.0
1892Q4,7111.0
1893Q1,6447.0
1893Q2,6760.0
1893Q3,
1893Q4,
1894Q1,6840.0
1894Q2,6913.0
1894Q3,7233.0
1894Q4,7062.0
1895Q1,6793.0
1895Q2,7549.0
1895Q3,7163.0
1895Q4,7035.0
1896Q1,
1896Q2,
1896Q3,
1896Q4,
1897Q1,6475.0
1897Q2,6140.0
1897Q3,7101.0
1897Q4,7097.0
1898Q1,7486.0
1898Q2,6708.0
1898Q3,
1898Q4,
1899Q1,7163.0
1899Q2,6678.0
1899Q3,6546.0
1899Q4,6872.0
1900Q1,7775.0
1900Q2,6879.0
1900Q3,6565.0
1900Q4,6835.0
1901Q1,6427.0
1901Q2,7948.0
1901Q3,7419.0
1901Q4,7863.0
1902Q1,7791.0
1902Q2,8184.0
1902Q3,8458.0
1902Q4,7636.0
1903Q1,7423.0
1903Q2,7593.0
1903Q3,7616.0
1903Q4,7779.0
1904Q1,7500.0
1904Q2,7561.0
1904Q3,7304.0
1904Q4,7741.0
1905Q1,7821.0
1905Q2,7325.0
1905Q3,7305.0
1905Q4,7351.0
1906Q1,7642.0
1906Q2,7777.0
1906Q3,8679.0
1906Q4,8665.0
1907Q1,8421.0
1907Q2,8976.0
1907Q3,9658.0
1907Q4,9479.0
1908Q1,9562.0
1908Q2,9185.0
1908Q3,9638.0
1908Q4,10209.0
1909Q1,9927.0
1909Q2,9870.0
1909Q3,10545.0
1909Q4,10238.0
1910Q1,9821.0
