qtr,titlelen
1838Q4,21.94226579520697
1839Q1,22.198604060913706
1839Q2,22.966167859466495
1839Q3,23.944444444444443
1839Q4,23.211663066954642
1840Q1,23.829787234042552
1840Q2,24.113594040968344
1840Q3,22.808552631578948
1840Q4,22.943527918781726
1841Q1,23.865853658536587
1841Q2,23.138517618469017
1841Q3,22.35377358490566
1841Q4,23.46549391069012
1842Q1,23.154104979811574
1842Q2,23.458921694480104
1842Q3,24.12560054907344
1842Q4,23.593586387434556
1843Q1,
1843Q2,22.80766449746927
1843Q3,22.822834645669293
1843Q4,22.76279069767442
1844Q1,23.064247921390777
1844Q2,22.70138383102695
1844Q3,23.181566181566183
1844Q4,23.614145658263304
1845Q1,23.726731198808636
1845Q2,23.78443113772455
1845Q3,23.755339805825244
1845Q4,22.82851445663011
1846Q1,23.68
1846Q2,23.587730870712402
1846Q3,24.053276178812002
1846Q4,24.22192513368984
1847Q1,23.085596221959857
1847Q2,23.30809399477807
1847Q3,22.948542024013722
1847Q4,23.329656067488642
1848Q1,23.99076517150396
1848Q2,24.143241425689308
1848Q3,22.882697947214076
1848Q4,22.746820809248554
1849Q1,23.674837779379956
1849Q2,23.604356992269853
1849Q3,23.53589420654912
1849Q4,24.05296343001261
1850Q1,
1850Q2,
1850Q3,
1850Q4,
1851Q1,24.70754716981132
1851Q2,24.786729857819907
1851Q3,25.077743902439025
1851Q4,25.062678062678064
1852Q1,25.05875152998776
1852Q2,24.684583579444773
1852Q3,26.009584664536742
1852Q4,25.54651919323357
1853Q1,23.533980582524272
1853Q2,23.834250764525994
1853Q3,
1853Q4,
1854Q1,
1854Q2,
1854Q3,23.41742522756827
1854Q4,23.664103460328555
1855Q1,25.489138576779027
1855Q2,24.987189148455162
1855Q3,24.219233355749832
1855Q4,23.87214611872146
1856Q1,23.596344249809597
1856Q2,24.316622691292874
1856Q3,24.212780421481984
1856Q4,24.18986529826812
1857Q1,23.41176470588235
1857Q2,23.059152442613303
1857Q3,
1857Q4,
1858Q1,21.730167921250725
1858Q2,21.906513070447495
1858Q3,21.907998150716598
1858Q4,22.131910766246364
1859Q1,22.6016
1859Q2,23.273516642547033
1859Q3,22.46925566343042
1859Q4,22.594254032258064
1860Q1,
1860Q2,
1860Q3,
1860Q4,
1861Q1,20.990596532471347
1861Q2,20.605449591280653
1861Q3,21.14420218037661
1861Q4,21.229408658922914
1862Q1,
1862Q2,
1862Q3,
1862Q4,
1863Q1,
1863Q2,
1863Q3,
1863Q4,
1864Q1,
1864Q2,
1864Q3,
1864Q4,
1865Q1,
1865Q2,
1865Q3,22.043977055449332
1865Q4,22.154807910888838
1866Q1,
1866Q2,
1866Q3,
1866Q4,
1867Q1,
1867Q2,
1867Q3,
1867Q4,
1868Q1,
1868Q2,
1868Q3,
1868Q4,
1869Q1,
1869Q2,
1869Q3,22.829436325678497
1869Q4,22.761074651353567
1870Q1,
1870Q2,
1870Q3,
1870Q4,
1871Q1,23.560863481910854
1871Q2,23.282828282828284
1871Q3,23.789557241136002
1871Q4,23.14691943127962
1872Q1,23.260583572271884
1872Q2,23.134198295894656
1872Q3,
1872Q4,
1873Q1,
1873Q2,
1873Q3,
1873Q4,
1874Q1,23.38143687707641
1874Q2,23.728647323252964
1874Q3,23.86362776621903
1874Q4,23.501572036249307
1875Q1,22.98969722455845
1875Q2,22.99526963103122
1875Q3,23.38756246529706
1875Q4,24.076350822239625
1876Q1,24.014417300760915
1876Q2,23.40414407436096
1876Q3,22.794370742201504
1876Q4,23.39873538992144
1877Q1,23.487374749498997
1877Q2,23.124792626728112
1877Q3,23.641826923076923
1877Q4,23.800268610897927
1878Q1,23.9580375782881
1878Q2,24.024333268444618
1878Q3,23.692831312486707
1878Q4,24.194747850336974
1879Q1,24.20390365448505
1879Q2,23.588199013157894
1879Q3,23.690156810882296
1879Q4,24.37680859859446
1880Q1,24.300509683995923
1880Q2,23.152278177458033
1880Q3,23.039493865030675
1880Q4,23.386404293381037
1881Q1,23.839805825242717
1881Q2,23.431813735081196
1881Q3,23.468404275267204
1881Q4,23.71540644299783
1882Q1,23.67298232829295
1882Q2,23.272258576244298
1882Q3,23.349726775956285
1882Q4,23.74145150034892
1883Q1,23.61751875763392
1883Q2,23.207912164517253
1883Q3,23.782312925170068
1883Q4,24.08827703661652
1884Q1,23.784120734908136
1884Q2,23.398991541964868
1884Q3,23.412023016353725
1884Q4,24.21232467920024
1885Q1,24.26147806792968
1885Q2,24.1204984044978
1885Q3,23.804861014108116
1885Q4,24.193796243597042
1886Q1,24.060811766369678
1886Q2,24.071010979609298
1886Q3,23.751695437731197
1886Q4,24.122132429614183
1887Q1,24.22906506897032
1887Q2,24.045198577356253
1887Q3,23.97770957842029
1887Q4,24.714583333333334
1888Q1,24.85612366230678
1888Q2,24.30810892131789
1888Q3,24.477709923664122
