entity,nertype,count
India,GPE,2663981
Bombay,GPE,1414336
London,GPE,562127
US,GPE,499260
LONDON,GPE,378544
Pakistan,GPE,377628
England,GPE,370920
Delhi,GPE,341290
China,GPE,318697
Mumbai,GPE,315222
Japan,GPE,217216
Britain,GPE,199481
France,GPE,183201
New Delhi,GPE,177574
Germany,GPE,174104
Russia,GPE,163780
Australia,GPE,161189
New York,GPE,154425
the United States,GPE,148599
Paris,GPE,115794
America,GPE,114455
South Africa,GPE,91064
Gujarat,GPE,89929
Washington,GPE,82815
Egypt,GPE,80756
NEW YORK,GPE,79801
Moscow,GPE,78143
the Soviet Union,GPE,71869
Kerala,GPE,70748
Hindi,GPE,68461
Burma,GPE,67043
UK,GPE,66857
Italy,GPE,66199
Singapore,GPE,66192
Canada,GPE,65973
Iraq,GPE,63340
Iran,GPE,61678
Great Britain,GPE,61290
States,GPE,61016
Afghanistan,GPE,60689
Israel,GPE,58657
New Zealand,GPE,58583
Bengal,GPE,58418
Berlin,GPE,56731
Colaba,GPE,55648
Bihar,GPE,54147
Us,GPE,53676
Turkey,GPE,53503
Bangladesh,GPE,47526
Aden,GPE,46650
Empire,GPE,44725
Jammu,GPE,44391
Spain,GPE,44264
Ireland,GPE,44159
Sri Lanka,GPE,41253
Railway,GPE,41197
Shanghai,GPE,39390
INDIA,GPE,38768
Assam,GPE,38511
Liverpool,GPE,37936
Santa Cruz,GPE,37195
Indonesia,GPE,35870
Hong Kong,GPE,35469
Cairo,GPE,35048
Persia,GPE,34048
Austria,GPE,33605
Belgium,GPE,33177
the1,GPE,32964
Poland,GPE,32323
Singh,GPE,31492
Scotland,GPE,31273
Brazil,GPE,30822
Malaysia,GPE,30110
the United Kingdom,GPE,28934
Geneva,GPE,28745
UP,GPE,28203
Holland,GPE,28083
Wales,GPE,28037
Switzerland,GPE,27962
Haryana,GPE,27487
PARIS,GPE,27384
Kenya,GPE,27263
Allahabad,GPE,27055
West Germany,GPE,26399
Hyderabad,GPE,25609
Hollywood,GPE,25243
Tokyo,GPE,24652
Andheri,GPE,24450
WASHINGTON,GPE,24257
Thailand,GPE,24230
Cambodia,GPE,24217
Hongkong,GPE,24200
Sweden,GPE,24176
Rome,GPE,23823
Baghdad,GPE,23692
Gujarati,GPE,23639
USA,GPE,23505
West Indies,GPE,23429
Antwerp,GPE,23370
Greece,GPE,23214
Yugoslavia,GPE,23207
Syria,GPE,22620
Korea,GPE,22468
USSR,GPE,22445
United States,GPE,22303
Ahmedabad,GPE,22291
MD,GPE,22049
Beijing,GPE,22019
California,GPE,21794
Saudi Arabia,GPE,21568
Hungary,GPE,21499
Srinagar,GPE,21339
Mexico,GPE,21238
Nepal,GPE,20981
Kabul,GPE,20949
Dubai,GPE,20690
Bangkok,GPE,20591
Philippines,GPE,20528
Karachi,GPE,20525
Portugal,GPE,20388
Teheran,GPE,19926
Kuwait,GPE,19917
Peking,GPE,19892
Vienna,GPE,19867
Palestine,GPE,19845
Sholapur,GPE,19774
Sydney,GPE,19763
Esq,GPE,19682
Tibet,GPE,19431
Melbourne,GPE,19386
Islamabad,GPE,19280
Chavan,GPE,19016
Lieut,GPE,18950
Bulgaria,GPE,18893
