entity,nertype,count
Madras,PERSON,164505
Bill,PERSON,120732
ho,PERSON,119288
Gandhi,PERSON,117791
Poona,PERSON,99432
Lok Sabha,PERSON,71650
Viceroy,PERSON,68897
Simla,PERSON,61118
Ho,PERSON,55792
Desai,PERSON,53703
Tamil Nadu,PERSON,51896
ami,PERSON,51869
Goa,PERSON,50025
Patil,PERSON,49659
Rao,PERSON,46445
Patel,PERSON,46358
Singh,PERSON,46231
Mehta,PERSON,45455
Karachi,PERSON,41650
Indira Gandhi,PERSON,40298
Chavan,PERSON,37811
Cotton,PERSON,36713
Mrs Gandhi,PERSON,35339
lu,PERSON,32707
wu,PERSON,32214
Indias,PERSON,31100
Winner,PERSON,30794
Nixon,PERSON,29891
Joshi,PERSON,29452
Rajya Sabha,PERSON,27225
Reuter,PERSON,24257
Khan,PERSON,23922
Sikh,PERSON,23891
Rajiv Gandhi,PERSON,23797
Advani,PERSON,23180
Brown,PERSON,22487
Bush,PERSON,22305
Governments,PERSON,22088
Gupta,PERSON,21774
tu,PERSON,21744
Tha,PERSON,21431
Hindoo,PERSON,21271
Johnson,PERSON,21167
Tamil,PERSON,20838
Vajpayee,PERSON,20589
Mm,PERSON,20420
Mill,PERSON,19949
Kumar,PERSON,18598
Mahatma Gandhi,PERSON,18510
Lieut,PERSON,18302
the Lok Sabha,PERSON,18226
Clinton,PERSON,17766
Churchill,PERSON,17664
Smith,PERSON,16984
Reagan,PERSON,16880
Orissa,PERSON,16847
Surrey,PERSON,16755
Sharma,PERSON,16738
Williams,PERSON,16630
Queen,PERSON,16447
Narasimha Rao,PERSON,16365
Bhutto,PERSON,16326
Extras,PERSON,16271
Morarji Desai,PERSON,16117
Jinnah,PERSON,15921
Roy,PERSON,15841
li,PERSON,15823
Kennedy,PERSON,15801
Taylor,PERSON,15401
Kerala,PERSON,15002
Java,PERSON,14791
Wilson,PERSON,14782
Gymkhana,PERSON,14751
Anderson,PERSON,14643
Hamilton,PERSON,14339
Prince,PERSON,14208
Janata Dal,PERSON,14128
Stewart,PERSON,13978
Sharad Pawar,PERSON,13950
Broach,PERSON,13543
Hitler,PERSON,13483
mm,PERSON,13262
Gandhis,PERSON,13034
Agra,PERSON,12939
Marshall,PERSON,12790
Graham,PERSON,12762
Glasgow,PERSON,12751
Menon,PERSON,12686
Khrushchev,PERSON,12454
Jo,PERSON,12390
Roosevelt,PERSON,12232
Carter,PERSON,12192
Jack,PERSON,12051
Karunanidhi,PERSON,11966
Roberts,PERSON,11929
Bombay,PERSON,11922
Scott,PERSON,11851
Bat,PERSON,11846
Witness,PERSON,11817
Shastri,PERSON,11811
Baker,PERSON,11689
Basu,PERSON,11596
Gordon,PERSON,11550
Subramaniam,PERSON,11549
Howrah,PERSON,11368
Tim,PERSON,11239
George,PERSON,11223
ihc,PERSON,11194
Bennett Coleman Co Ltd,PERSON,11113
Khanna,PERSON,11102
Ji,PERSON,11097
William,PERSON,11090
Reddy,PERSON,11070
Chembur,PERSON,10987
Tata,PERSON,10968
al,PERSON,10967
Gladstone,PERSON,10906
Shiv Sena,PERSON,10718
Majesty,PERSON,10718
Banks,PERSON,10614
Ghosh,PERSON,10542
Wright,PERSON,10524
Lloyd George,PERSON,10502
Marathi,PERSON,10469
Sonia Gandhi,PERSON,10381
Mukherjee,PERSON,10359
Jain,PERSON,10302
Mishra,PERSON,10103
Charles,PERSON,10061
Dacca,PERSON,10031
Lawrence,PERSON,9921
Pak,PERSON,9865
Abdullah,PERSON,9864
Kurla,PERSON,9762
Jn,PERSON,9740
Gazette,PERSON,9674
Alexander,PERSON,9595
Arthur,PERSON,9590
Kher,PERSON,9506
Morrison,PERSON,9457
Sabha,PERSON,9326
Jones,PERSON,9321
Bombays,PERSON,9279
ia,PERSON,9253
Marseilles,PERSON,9219
Mohun Bagan,PERSON,9212
Henry,PERSON,9209
Rama Rao,PERSON,9183
Wadia,PERSON,9166
Moon,PERSON,9109
Hegde,PERSON,9086
Harris,PERSON,9056
Ali,PERSON,8976
Mrs,PERSON,8907
Sachin Tendulkar,PERSON,8865
tod,PERSON,8844
Crawford,PERSON,8825
Jackson,PERSON,8744
Li,PERSON,8665
Sen,PERSON,8623
Shakespeare,PERSON,8612
Yorkshire,PERSON,8565
Jagjivan Ram,PERSON,8563
Nasser,PERSON,8484
Rajputana,PERSON,8477
Shukla,PERSON,8381
Gadgil,PERSON,8363
Lee,PERSON,8340
Bal Thackeray,PERSON,8312
Stalin,PERSON,8309
Ready,PERSON,8281
Ahmed,PERSON,8254
Malik,PERSON,8218
Cook,PERSON,8204
Surat,PERSON,8203
Eisenhower,PERSON,8145
Giri,PERSON,8137
West Bengal,PERSON,8051
Weather,PERSON,8049
Raj Bhavan,PERSON,8046
Thackeray,PERSON,8031
Miller,PERSON,8020
Salisbury,PERSON,8004
Madura,PERSON,7941
Ramachandran,PERSON,7890
Devi Lai,PERSON,7882
Act,PERSON,7866
N. I.,PERSON,7845
Mahatma,PERSON,7797
Khar,PERSON,7786
Kashmiri,PERSON,7783
Hindustani,PERSON,7781
Lai,PERSON,7757
Nanda,PERSON,7747
Ralli Bros,PERSON,7714
Baldwin,PERSON,7713
John,PERSON,7659
Francis,PERSON,7653
Charan Singh,PERSON,7599
Allen,PERSON,7547
Ranji Trophy,PERSON,7522
MUMBAI,PERSON,7492
Rawalpindi,PERSON,7479
Controller,PERSON,7465
Manohar Joshi,PERSON,7444
Munshi,PERSON,7416
Tito,PERSON,7406
Chandra Shekhar,PERSON,7403
Kapil Dev,PERSON,7388
George Bush,PERSON,7363
Manmohan Singh,PERSON,7342
Ma,PERSON,7331
Nariman,PERSON,7323
Ihc,PERSON,7321
Tatas,PERSON,7293
Watson,PERSON,7290
Wallace,PERSON,7275
Goan,PERSON,7243
Ghatkopar,PERSON,7137
